index,date,store,dayofweek,customers,open,promo,stateholiday,schoolholiday,storetype,assortment,competitiondistance,competitionopensincemonth,competitionopensinceyear,promo2,promo2sinceweek,promo2sinceyear,promointerval,NEW_Day,NEW_Month,NEW_Year,NEW_WeekOfYear,NEW_DayOfYear,NEW_IsWeekend,NEW_IsMonthStart,NEW_IsMonthEnd,NEW_Sales_Lag_1,NEW_Sales_Lag_7,NEW_Sales_Lag_30,NEW_Rolling_Mean_Sales_7,NEW_Rolling_Sum_Sales_7,NEW_Rolling_Std_Sales_7,NEW_Rolling_Mean_Sales_30,NEW_Rolling_Sum_Sales_30,NEW_Rolling_Std_Sales_30,NEW_EMA_Sales_7,NEW_EMA_Sales_30,NEW_Promo_StateHoliday,NEW_Promo_SchoolHoliday,NEW_DayOfWeek_Promo,NEW_Promo2_Ratio,NEW_StoreType,NEW_Assortment,y_pred
18320,2015-03-23,6,1,560,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,23,3,2015,13,82,False,False,False,3989.0,6803.0,6682.0,4336.0,30352.0,1131.6854686705124,4793.8,143814.0,1462.6373062571495,4438.138600983451,4877.15098298908,,0,0,0.0,0,0,4204.4248650205955
18321,2015-03-21,6,6,356,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,21,3,2015,12,80,True,False,False,4241.0,6759.0,5458.0,3816.285714285714,26714.0,482.8470131369115,4715.9,141477.0,1488.05560125077,4108.853950737588,4763.85091957043,,0,0,0.0,0,0,2990.1531388694775
18322,2015-03-20,6,5,592,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,20,3,2015,12,79,False,False,False,3121.0,3134.0,6772.0,4100.0,28700.0,587.3028747304621,4660.833333333333,139825.0,1439.1059744671772,4361.640463053191,4786.828279598145,0,0,5,0.0,0,0,5126.700278981348
18323,2015-03-19,6,4,574,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,19,3,2015,12,78,False,False,False,5120.0,4101.0,2737.0,4236.0,29652.0,688.9949201554376,4738.033333333334,142141.0,1393.749828720158,4534.480347289893,4804.00064865633,0,0,4,0.0,0,0,4927.360857366907
18324,2015-03-18,6,3,571,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,18,3,2015,12,77,False,False,False,5053.0,3930.0,3209.0,4355.428571428572,30488.0,699.4885886948289,4789.933333333333,143698.0,1363.5103007421262,4592.36026046742,4801.548993904309,0,0,3,0.0,0,0,4983.693279394585
18325,2015-03-17,6,2,637,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,17,3,2015,12,76,False,False,False,4766.0,4198.0,3704.0,4571.571428571428,32001.0,858.4357590297305,4856.833333333333,145705.0,1357.615736689048,4872.020195350565,4860.223252362096,0,0,2,0.0,0,0,5825.913843592334
18326,2015-03-16,6,1,790,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,16,3,2015,12,75,False,False,False,5711.0,3989.0,4116.0,5052.857142857143,35370.0,1305.4255281416117,4964.9,148947.0,1424.0198407664661,5493.515146512924,5021.3701393064775,0,0,1,0.0,0,0,7136.61066476754
18327,2015-03-14,6,6,338,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,14,3,2015,11,73,True,False,False,7358.0,4241.0,3398.0,4899.0,34293.0,1470.1349144437945,4957.1,148713.0,1433.5076668907225,4911.136359884693,4901.539807738318,,0,0,0.0,0,0,2942.2894440960054
18328,2015-03-13,6,5,501,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,13,3,2015,11,72,False,False,False,3164.0,3121.0,4347.0,5045.857142857143,35321.0,1304.9921364477534,4950.5,148515.0,1436.8653561569845,4720.602269913519,4852.988852400362,,0,0,0.0,0,0,4087.0525831437003
18329,2015-03-12,6,4,521,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,12,3,2015,11,71,False,False,False,4149.0,5120.0,2937.0,4833.714285714285,33836.0,1407.5993409922798,4973.766666666666,149213.0,1408.508594549405,4449.201702435139,4774.408926439049,,0,0,0.0,0,0,4121.080190248298
18330,2015-03-11,6,3,507,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,11,3,2015,11,70,False,False,False,3635.0,5053.0,5862.0,4669.571428571428,32687.0,1444.281696570172,4908.5,147255.0,1411.2924805004952,4312.901276826355,4718.253511830078,,0,0,0.0,0,0,3935.066495937003
18331,2015-03-10,6,2,573,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,10,3,2015,11,69,False,False,False,3904.0,4766.0,5734.0,4611.0,32277.0,1448.0280844421939,4862.566666666667,145877.0,1405.9130959391953,4323.6759576197655,4694.882317518461,,0,0,0.0,0,0,4244.404419658445
18332,2015-03-09,6,1,529,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,9,3,2015,11,68,False,False,False,4356.0,5711.0,5364.0,4382.714285714285,30679.0,1369.5446584279634,4820.866666666667,144626.0,1409.0765558442465,4271.006968214824,4657.341522839851,,0,0,0.0,0,0,4071.3599570869233
18333,2015-03-07,6,6,368,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,7,3,2015,10,66,True,False,False,4113.0,7358.0,5235.0,3765.285714285714,26357.0,507.7242408649613,4747.566666666667,142427.0,1443.5643311473575,3962.255226161118,4552.738843946958,,0,0,0.0,0,0,3011.8754278098017
18334,2015-03-06,6,5,603,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,6,3,2015,10,65,False,False,False,3036.0,3164.0,7624.0,4083.5714285714284,28585.0,721.3664942646111,4673.166666666667,140195.0,1344.3089003425616,4319.691419620838,4606.8847249826385,0,0,5,0.0,0,0,5219.6914442387215
18335,2015-03-05,6,4,553,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,5,3,2015,10,64,False,False,False,5392.0,4149.0,3138.0,4133.714285714285,28936.0,738.6642706682792,4718.566666666667,141557.0,1313.3169558171323,4364.768564715629,4599.988936274081,0,0,4,0.0,0,0,4784.379402744072
18336,2015-03-04,6,3,621,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,4,3,2015,10,63,False,False,False,4500.0,3635.0,4247.0,4430.714285714285,31015.0,904.1454002326731,4767.466666666666,143024.0,1322.4326782508613,4702.076423536721,4671.860617804786,0,0,3,0.0,0,0,5638.817853699405
18337,2015-03-03,6,2,655,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,3,3,2015,10,62,False,False,False,5714.0,3904.0,4380.0,4711.857142857143,32983.0,1012.5430737457402,4817.2,144516.0,1335.3506423149815,4994.557317652541,4749.288965043187,0,0,2,0.0,0,0,5982.506510534901
18338,2015-03-02,6,1,791,1,1,0,0,a,a,310.0,12.0,2013.0,0,,,,2,3,2015,10,61,False,False,False,5872.0,4356.0,4461.0,5163.714285714285,36146.0,1441.9693378947297,4919.133333333333,147574.0,1421.1798336383154,5625.6679882394055,4927.97999955653,0,0,1,0.0,0,0,7356.557249104927
18339,2015-02-28,6,6,378,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,28,2,2015,9,59,True,False,True,7519.0,4113.0,4770.0,5050.428571428572,35353.0,1564.2410147994926,4870.8,146124.0,1450.775236281243,5049.250991179554,4824.239354423851,,0,0,0.0,0,0,3166.345322918447
18340,2015-02-27,6,5,590,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,27,2,2015,9,58,False,False,False,3320.0,3036.0,3941.0,5314.857142857143,37204.0,1301.3088832109781,4902.333333333333,147070.0,1440.1103725261726,5008.688243384666,4828.28842833199,,0,0,0.0,0,0,4724.700350042735
18341,2015-02-26,6,4,476,1,0,0,0,a,a,310.0,12.0,2013.0,0,,,,26,2,2015,9,57,False,False,False,4887.0,5392.0,7520.0,5108.571428571428,35760.0,1397.9091359530298,4783.266666666666,143498.0,1361.754520724144,4743.516182538499,4771.49562650412,,0,0,0.0,0,0,3806.0950819423906
